epoch,acc,categorical_crossentropy,loss,val_acc,val_categorical_crossentropy,val_loss
0,0.32379518072289154,1.8934794894183975,1.8934794894183975,0.44345238095238093,1.6721152521315075,1.6721152521315075
1,0.60203313253012047,1.1148984985179211,1.1148984985179211,0.6651785714285714,1.1302248636881511,1.1302248636881511
2,0.70293674698795183,0.82537609482386021,0.82537609482386021,0.69791666666666663,0.8763589206196013,0.8763589206196013
3,0.78162650602409633,0.62584214720381315,0.62584214720381315,0.71875,0.84833679596583045,0.84833679596583045
4,0.82906626506024095,0.46307345380984155,0.46307345380984155,0.74702380952380953,0.90894582158043269,0.90894582158043269
5,0.86332831325301207,0.39801011764141453,0.39801011764141453,0.76041666666666663,0.69292888896805904,0.69292888896805904
6,0.88102409638554213,0.32425710496055077,0.32425710496055077,0.7678571428571429,0.69351713430313833,0.69351713430313833
7,0.89307228915662651,0.28515913750392846,0.28515913750392846,0.7857142857142857,0.96265014012654626,0.96265014012654626
8,0.92356927710843373,0.21858293370130549,0.21858293370130549,0.76488095238095233,0.97032477742149714,0.97032477742149714
9,0.94013554216867468,0.17296866264687963,0.17296866264687963,0.80208333333333337,0.81635648295992902,0.81635648295992902
10,0.95331325301204817,0.136411002175097,0.136411002175097,0.7857142857142857,0.95500297773452036,0.95500297773452036
